Gene_Locus_ID,Gene_Symbol,Gene_Function,Uniprot_ID,GO_Terms,eggNOG,COG_ID,COG_Category,KEGG_Pathway
PA0248,NA,NA,Q9I6P1,DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565],NA,COG1917,,NA
PA0248,NA,NA,Q9I6P1,DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565],NA,COG2207,,NA
PA0249,NA,NA,Q9I6P0,N-acetyltransferase activity [GO:0008080],NA,COG0456,,NA
PA0250,NA,NA,Q9I6N9,NA,NA,COG0517,,NA
PA0251,NA,NA,Q9I6N8,NA,NA,NA,NA,NA
PA0252,NA,NA,Q9I6N7,NA,NA,NA,NA,NA
PA0253,NA,NA,Q9I6N6,"DNA-binding transcription factor activity [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG1846,,NA
PA0254,NA,NA,Q9I6N5,cytoplasm [GO:0005737]; cytosol [GO:0005829]; 3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity [GO:0008694]; carboxy-lyase activity [GO:0016831]; metal ion binding [GO:0046872]; aromatic compound catabolic process [GO:0019439]; ubiquinone biosynthetic process [GO:0006744],NA,COG0043,Ubiquinone biosynthesis,NA
PA0255,NA,NA,Q9I6N4,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA0256,NA,NA,Q9I6N3,NA,NA,NA,NA,NA
PA0257,NA,NA,Q9I6N2,nucleic acid binding [GO:0003676]; DNA integration [GO:0015074],NA,COG2801,,NA
PA0258,NA,NA,Q9I6N1,NA,NA,NA,NA,NA
PA0259,NA,NA,Q9I6N0,NA,NA,NA,NA,NA
PA0260,NA,NA,Q9I6M9,NA,NA,NA,NA,NA
PA0261,NA,NA,Q9I6M8,NA,NA,NA,NA,NA
PA0262,,(RefSeq) hypothetical protein,Q9I6M7,extracellular region [GO:0005576]; type VI protein secretion system complex [GO:0033104]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; protein secretion by the type VI secretion system [GO:0033103],NA,COG3501,,Bacterial secretion system
PA0263,hcpC,(RefSeq) secreted protein Hcp,Q9HI36,extracellular region [GO:0005576],NA,NA,NA,"Biofilm formation - Pseudomonas aeruginosa, Bacterial secretion system"
PA0263.1,,(RefSeq) tRNA-Arg,NA,NA,NA,NA,NA,Aminoacyl-tRNA biosynthesis
PA0265,gabD,(RefSeq) glutarate-semialdehyde dehydrogenase DavD,Q9I6M5,glutarate-semialdehyde dehydrogenase (NAD+) activity [GO:0047949]; glutarate-semialdehyde dehydrogenase (NADP+) activity [GO:0102810]; succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777]; gamma-aminobutyric acid catabolic process [GO:0009450]; L-lysine catabolic process [GO:0019477],NA,COG1012,Proline degradation,"Butanoate metabolism, Alanine, aspartate and glutamate metabolism, Lysine degradation, Tyrosine metabolism, Nicotinate and nicotinamide metabolism, Microbial metabolism in diverse environments, Metabolic pathways"
PA0266,,(RefSeq) 5-aminovalerate aminotransferase DavT,Q9I6M4,cytosol [GO:0005829]; 4-aminobutyrate transaminase activity [GO:0003867]; 5-aminovalerate transaminase activity [GO:0047589]; pyridoxal phosphate binding [GO:0030170]; gamma-aminobutyric acid catabolic process [GO:0009450]; L-lysine catabolic process [GO:0019477],NA,NA,NA,"Alanine, aspartate and glutamate metabolism, Lysine degradation, Butanoate metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
PA0267,NA,NA,Q9I6M3,cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976],NA,COG0784,,NA
PA0268,NA,NA,Q9I6M2,catalytic activity [GO:0003824]; DNA-binding transcription factor activity [GO:0003700]; pyridoxal phosphate binding [GO:0030170]; biosynthetic process [GO:0009058],NA,COG1167,Lysine biosynthesis,NA
PA0269,NA,NA,Q9I6M1,peroxiredoxin activity [GO:0051920],NA,COG2128,,NA
PA0270,NA,NA,Q9I6M0,NA,NA,COG1917,,NA
PA0271,NA,NA,Q9I6L9,cytosol [GO:0005829]; catalytic activity [GO:0003824]; oxidoreductase activity [GO:0016491],NA,COG1359,,NA
PA0272,NA,NA,Q9I6L8,"DNA-binding transcription factor activity [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG0583,,NA
PA0273,NA,NA,Q9I6L7,integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857],NA,COG2807,,NA
PA0274,NA,NA,Q9I6L6,NA,NA,NA,NA,NA
PA0275,,(RefSeq) transcriptional regulator,Q9I6L5,cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],NA,COG0664,,"Two-component system, Quorum sensing, Biofilm formation - Pseudomonas aeruginosa"
PA0276,NA,NA,Q9I6L4,integral component of membrane [GO:0016021]; sphingoid catabolic process [GO:0046521],NA,NA,NA,NA
PA0277,NA,NA,Q9I6L3,membrane [GO:0016020]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; proteolysis involved in cellular protein catabolic process [GO:0051603],NA,COG0501,,NA
PA0278,NA,NA,Q9I6L2,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,NA,NA,NA
PA0279,NA,NA,Q9I6L1,cadmium ion sensor activity [GO:0097063]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; lead ion binding [GO:0032791]; regulation of gene expression [GO:0010468]; response to cadmium ion [GO:0046686]; response to lead ion [GO:0010288],NA,COG0640,,NA
PA0280,cysA,(RefSeq) sulfate.thiosulfate ABC transporter ATP-binding protein CysA,Q9I6L0,ATP-binding cassette (ABC) transporter complex [GO:0043190]; ABC-type sulfate transporter activity [GO:0015419]; ABC-type thiosulfate transporter activity [GO:0102025]; ATP binding [GO:0005524]; sulfate transport [GO:0008272],NA,COG1118,,"ABC transporters, Sulfur metabolism"
PA0281,cysW,(RefSeq) sulfate transporter CysW,Q9I6K9,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ABC-type sulfate transporter activity [GO:0015419],NA,NA,NA,"Sulfur metabolism, ABC transporters"
PA0282,cysT,(RefSeq) sulfate transporter CysT,Q9I6K8,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ABC-type sulfate transporter activity [GO:0015419],NA,COG0555,,"ABC transporters, Sulfur metabolism"
PA0283,sbp,(RefSeq) sulfate-binding protein,Q9I6K7,ABC-type sulfate transporter activity [GO:0015419]; sulfur compound binding [GO:1901681],NA,NA,NA,"Sulfur metabolism, ABC transporters"
PA0284,NA,NA,Q9I6K6,NA,NA,COG5583,,NA
PA0285,NA,NA,Q9I6K5,"integral component of membrane [GO:0016021]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG2202,,NA
PA0286,desA,(RefSeq) delta-9 fatty acid desaturase DesA,Q9I6K4,"integral component of membrane [GO:0016021]; oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water [GO:0016717]; fatty acid biosynthetic process [GO:0006633]",NA,COG1398,,"Biosynthesis of unsaturated fatty acids, Metabolic pathways, Fatty acid metabolism"
PA0287,NA,NA,Q9I6K3,integral component of membrane [GO:0016021]; symporter activity [GO:0015293]; sodium ion transport [GO:0006814],NA,COG0591,,NA
PA0288,NA,NA,Q9I6K2,"agmatinase activity [GO:0008783]; guanidinopropionase activity [GO:0047972]; metal ion binding [GO:0046872]; putrescine biosynthetic process from arginine, using agmatinase [GO:0033389]",NA,COG0010,Urea cycle,NA
PA0289,NA,NA,Q9I6K1,"DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; positive regulation of hydrolase activity [GO:0051345]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG0583,,NA
PA0290,NA,NA,Q9I6K0,plasma membrane [GO:0005886]; diguanylate cyclase activity [GO:0052621]; cell adhesion involved in single-species biofilm formation [GO:0043709]; negative regulation of bacterial-type flagellum-dependent cell motility [GO:1902201],NA,COG2199,,NA
PA0290,NA,NA,Q9I6K0,plasma membrane [GO:0005886]; diguanylate cyclase activity [GO:0052621]; cell adhesion involved in single-species biofilm formation [GO:0043709]; negative regulation of bacterial-type flagellum-dependent cell motility [GO:1902201],NA,COG2202,,NA
PA0291,NA,NA,G3XDA5,integral component of membrane [GO:0016021]; outer membrane [GO:0019867]; porin activity [GO:0015288],NA,NA,NA,NA
PA0292,aguA,(RefSeq) agmatine deiminase,Q9I6J9,agmatine deiminase activity [GO:0047632]; protein-arginine deiminase activity [GO:0004668]; putrescine biosynthetic process from arginine [GO:0033388],NA,COG2957,,"Metabolic pathways, Arginine and proline metabolism"
PA0293,aguB,(RefSeq) N-carbamoylputrescine amidohydrolase,Q9I6J8,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; N-carbamoylputrescine amidase activity [GO:0050126]; putrescine biosynthetic process from arginine [GO:0033388]",NA,NA,NA,"Arginine and proline metabolism, Metabolic pathways"
PA0294,NA,NA,Q9I6J7,"DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; negative regulation of hydrolase activity [GO:0051346]; regulation of transcription, DNA-templated [GO:0006355]",NA,NA,NA,NA
PA0295,,(RefSeq) polyamine binding protein,Q9I6J6,periplasmic space [GO:0042597]; polyamine binding [GO:0019808]; polyamine transport [GO:0015846],NA,COG0687,,ABC transporters
PA0296,spuI,(RefSeq) glutamine synthetase,Q9I6J5,glutamate-ammonia ligase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]; polyamine catabolic process [GO:0006598]; putrescine catabolic process [GO:0009447]; spermidine catabolic process [GO:0046203],NA,NA,NA,"Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Glyoxylate and dicarboxylate metabolism, Nitrogen metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Biosynthesis of amino acids, Two-component system"
PA0297,NA,NA,Q9I6J4,gamma-glutamyl-gamma-aminobutyrate hydrolase activity [GO:0033969]; transferase activity [GO:0016740]; glutamine metabolic process [GO:0006541]; polyamine catabolic process [GO:0006598]; spermidine catabolic process [GO:0046203],NA,COG2071,,NA
PA0298,spuB,(RefSeq) glutamine synthetase,Q9I6J3,glutamate-ammonia ligase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]; polyamine catabolic process [GO:0006598]; spermidine catabolic process [GO:0046203],NA,NA,NA,"Arginine biosynthesis, Alanine, aspartate and glutamate metabolism, Glyoxylate and dicarboxylate metabolism, Nitrogen metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Biosynthesis of amino acids, Two-component system"
PA0299,spuC,(RefSeq) aminotransferase,Q9I6J2,4-aminobutyrate transaminase activity [GO:0003867]; adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; biotin biosynthetic process [GO:0009102]; gamma-aminobutyric acid metabolic process [GO:0009448]; putrescine catabolic process [GO:0009447],NA,NA,NA,"Arginine and proline metabolism, Metabolic pathways"
PA0300,spuD,(RefSeq) putrescine ABC transporter substrate-binding protein SpuD,Q9I6J1,periplasmic space [GO:0042597]; putrescine binding [GO:0019810]; polyamine transport [GO:0015846],NA,COG0687,,ABC transporters
PA0301,spuE,(RefSeq) spermidine ABC transporter substrate-binding protein SpuE,Q9I6J0,extracellular space [GO:0005615]; periplasmic space [GO:0042597]; spermidine binding [GO:0019809]; polyamine transport [GO:0015846],NA,COG0687,,ABC transporters
PA0302,spuF,(RefSeq) polyamine transporter PotG,Q9I6I9,ATP-binding cassette (ABC) transporter complex [GO:0043190]; ABC-type polyamine transporter activity [GO:0015417]; ATP binding [GO:0005524]; putrescine transport [GO:0015847]; spermidine transport [GO:0015848],NA,COG3842,,ABC transporters
PA0303,spuG,(RefSeq) polyamine transporter PotH,Q9I6I8,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; putrescine transport [GO:0015847]; spermidine transport [GO:0015848]; transmembrane transport [GO:0055085],NA,COG1176,,ABC transporters
PA0304,spuH,(RefSeq) polyamine transporter PotI,Q9I6I7,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; putrescine transport [GO:0015847]; spermidine transport [GO:0015848]; transmembrane transport [GO:0055085],NA,COG1177,,ABC transporters
PA0305,,(RefSeq) hypothetical protein,Q9I6I6,"periplasmic space [GO:0042597]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; metal ion binding [GO:0046872]; antibiotic biosynthetic process [GO:0017000]",NA,NA,NA,Biosynthesis of secondary metabolites
PA0306,NA,NA,Q9I6I5,DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976],NA,COG2207,,NA
PA0307,NA,NA,Q9I6I4,NA,NA,NA,NA,NA
PA0308,NA,NA,Q9I6I3,membrane [GO:0016020]; lipase activity [GO:0016298],NA,COG2267,,NA
PA0309,NA,NA,Q9I6I2,NA,NA,NA,NA,NA
PA0310,NA,NA,Q9I6I1,ferrous iron binding [GO:0008198]; L-ascorbic acid binding [GO:0031418]; peptidyl-proline dioxygenase activity [GO:0031543]; cellular response to hypoxia [GO:0071456],NA,COG3751,,NA
PA0311,NA,NA,Q9I6I0,NA,NA,NA,NA,NA
PA0312,NA,NA,Q9I6H9,NA,NA,NA,NA,NA
PA0313,,(RefSeq) L-cysteine ABC transporter protein YecS,Q9I6H8,ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]; L-cystine transmembrane transporter activity [GO:0015184]; amino acid transport [GO:0006865]; L-cystine transport [GO:0015811],NA,NA,NA,ABC transporters
PA0314,,(RefSeq) L-cysteine ABC transporter protein FliY,Q9I6H7,outer membrane-bounded periplasmic space [GO:0030288],NA,NA,NA,"ABC transporters, Flagellar assembly"
PA0315,NA,NA,Q9I6H6,NA,NA,NA,NA,NA
PA0316,serA,(RefSeq) D-3-phosphoglycerate dehydrogenase,Q9I6H5,cytosol [GO:0005829]; glyoxylate reductase (NADP+) activity [GO:0030267]; hydroxypyruvate reductase activity [GO:0016618]; NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]; L-serine biosynthetic process [GO:0006564],NA,NA,NA,"Glycine, serine and threonine metabolism, Cysteine and methionine metabolism, Methane metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
PA0317,NA,NA,Q9I6H4,extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; (R)-2-hydroxyglutarate dehydrogenase activity [GO:0051990]; FAD binding [GO:0071949]; L-serine biosynthetic process [GO:0006564]; lactate oxidation [GO:0019516]; respiratory electron transport chain [GO:0022904],NA,COG0277,,NA
PA0318,NA,NA,Q9I6H3,acetylpyruvate hydrolase activity [GO:0018773],NA,NA,NA,NA
PA0319,NA,NA,Q9I6H2,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA0320,NA,NA,Q9I6H1,response to antibiotic [GO:0046677]; response to cadmium ion [GO:0046686]; response to mercury ion [GO:0046689],NA,NA,NA,NA
PA0321,NA,NA,Q9I6H0,acetylputrescine deacetylase activity [GO:0047609]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; polyamine metabolic process [GO:0006595],NA,NA,NA,NA
PA0322,NA,NA,Q9I6G9,integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085],NA,COG0531,,NA
PA0323,,(RefSeq) ABC transporter,Q9I6G8,periplasmic space [GO:0042597]; polyamine binding [GO:0019808]; polyamine transport [GO:0015846],NA,COG0687,,ABC transporters
PA0324,,(RefSeq) ABC transporter permease,Q9I6G7,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085],NA,COG1177,,ABC transporters
PA0325,,(RefSeq) ABC transporter permease,Q9I6G6,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085],NA,COG1176,,ABC transporters
PA0326,,(RefSeq) ABC transporter ATP-binding protein,Q9I6G5,ATP-binding cassette (ABC) transporter complex [GO:0043190]; ABC-type putrescine transporter activity [GO:0015594]; ATP binding [GO:0005524],NA,COG3842,,ABC transporters
PA0327,NA,NA,Q9I6G4,NA,NA,NA,NA,NA
PA0328,NA,NA,Q9I6G3,outer membrane [GO:0019867]; aminopeptidase activity [GO:0004177]; autotransporter activity [GO:0015474]; metalloexopeptidase activity [GO:0008235]; cell motility [GO:0048870]; proteolysis [GO:0006508],NA,COG2234,,NA
PA0328,NA,NA,Q9I6G3,outer membrane [GO:0019867]; aminopeptidase activity [GO:0004177]; autotransporter activity [GO:0015474]; metalloexopeptidase activity [GO:0008235]; cell motility [GO:0048870]; proteolysis [GO:0006508],NA,COG5571,,NA
PA0329,NA,NA,Q9I6G2,NA,NA,NA,NA,NA
PA0330,rpiA,(RefSeq) ribose-5-phosphate isomerase A,Q9I6G1,"cytosol [GO:0005829]; ribose-5-phosphate isomerase activity [GO:0004751]; D-ribose metabolic process [GO:0006014]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]",NA,NA,NA,"Pentose phosphate pathway, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids"
PA0331,ilvA1,(RefSeq) threonine dehydratase,Q9I6G0,L-threonine ammonia-lyase activity [GO:0004794]; pyridoxal phosphate binding [GO:0030170]; isoleucine biosynthetic process [GO:0009097]; threonine catabolic process [GO:0006567],NA,COG1171,"Isoleucine, leucine, valine biosynthesis","Biosynthesis of amino acids, Glycine, serine and threonine metabolism, Biosynthesis of secondary metabolites, Carbon metabolism, Metabolic pathways, Valine, leucine and isoleucine biosynthesis"
PA0332,NA,NA,Q9I6F9,integral component of membrane [GO:0016021],NA,COG5528,,NA
PA0333,NA,NA,Q9I6F8,integral component of membrane [GO:0016021]; catalytic activity [GO:0003824]; protein-containing complex binding [GO:0044877]; ubiquinone-6 biosynthetic process [GO:1901006],NA,COG0702,,NA
PA0334,NA,NA,Q9I6F7,integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857],NA,NA,NA,NA
PA0335,NA,NA,Q9I6F6,NA,NA,COG0560,Serine biosynthesis,NA
PA0336,ygdP,(RefSeq) RNA pyrophosphohydrolase,Q9X4P2,cytoplasm [GO:0005737]; RNA pyrophosphohydrolase activity [GO:0034353]; mRNA catabolic process [GO:0006402],NA,COG0494,,RNA degradation
PA0337,ptsP,(RefSeq) phosphoenolpyruvate-protein phosphotransferase PtsP,G3XD36,cytoplasm [GO:0005737]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; phosphoenolpyruvate-protein phosphotransferase activity [GO:0008965]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401],NA,NA,NA,Phosphotransferase system (PTS)
PA0338,NA,NA,Q9I6F5,NA,NA,COG2199,,NA
PA0339,NA,NA,Q9I6F4,NA,NA,NA,NA,NA
PA0340,NA,NA,Q9I6F3,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,NA,NA,NA
PA0341,NA,NA,Q9I6F2,integral component of plasma membrane [GO:0005887]; phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity [GO:0008961]; lipoprotein biosynthetic process [GO:0042158],NA,COG0682,,NA
PA0342,thyA,(RefSeq) thymidylate synthase,Q9I6F1,cytosol [GO:0005829]; thymidylate synthase activity [GO:0004799]; dTMP biosynthetic process [GO:0006231]; dTTP biosynthetic process [GO:0006235]; methylation [GO:0032259],NA,NA,NA,"Pyrimidine metabolism, One carbon pool by folate, Metabolic pathways, Nucleotide metabolism"
PA0343,NA,NA,Q9I6F0,NA,NA,NA,NA,NA
PA0344,NA,NA,Q9I6E9,GTP binding [GO:0005525],NA,COG0486,tRNA modification,NA
PA0345,NA,NA,Q9I6E8,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA0346,NA,NA,Q9I6E7,NA,NA,NA,NA,NA
PA0347,glpQ,(RefSeq) glycerophosphoryl diester phosphodiesterase,Q9I6E6,periplasmic space [GO:0042597]; glycerophosphodiester phosphodiesterase activity [GO:0008889]; lipid metabolic process [GO:0006629],NA,COG0584,,Glycerophospholipid metabolism
PA0348,NA,NA,Q9I6E5,NA,NA,NA,NA,NA
PA0349,NA,NA,Q9I6E4,NA,NA,NA,NA,NA
PA0350,folA,(RefSeq) dihydrofolate reductase,Q9I6E3,cytosol [GO:0005829]; dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; dihydrofolate metabolic process [GO:0046452]; folic acid metabolic process [GO:0046655]; glycine biosynthetic process [GO:0006545]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654],NA,COG0262,Folate biosynthesis,"One carbon pool by folate, Biosynthesis of cofactors, Folate biosynthesis, Metabolic pathways"
PA0351,NA,NA,Q9I6E2,hydrolase activity [GO:0016787]; metal ion binding [GO:0046872],NA,COG0622,,NA
PA0352,NA,NA,Q9I6E1,integral component of plasma membrane [GO:0005887]; xanthine transmembrane transporter activity [GO:0042907]; xanthine transport [GO:0042906],NA,COG2233,Pyrimidine degradation,NA
PA0353,ilvD,(RefSeq) dihydroxy-acid dehydratase,Q9I6E0,"cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; dihydroxy-acid dehydratase activity [GO:0004160]; hydro-lyase activity [GO:0016836]; metal ion binding [GO:0046872]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]",NA,NA,NA,"Valine, leucine and isoleucine biosynthesis, Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
PA0354,NA,NA,Q9I6D9,methyltransferase activity [GO:0008168]; RNA binding [GO:0003723]; methylation [GO:0032259],NA,NA,NA,NA
PA0355,NA,NA,Q9I6D8,peptidase activity [GO:0008233]; bacterial-type flagellum-dependent swarming motility [GO:0071978]; cellular response to antibiotic [GO:0071236]; single-species biofilm formation [GO:0044010]; single-species biofilm formation on inanimate substrate [GO:0044011],NA,COG0693,,NA
PA0356,NA,NA,Q9I6D7,NA,NA,NA,NA,NA
PA0357,mutM,(RefSeq) formamidopyrimidine-DNA glycosylase,Q9L7T2,"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity [GO:0034039]; class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; damaged DNA binding [GO:0003684]; DNA N-glycosylase activity [GO:0019104]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]; base-excision repair [GO:0006284]; base-excision repair, AP site formation [GO:0006285]; DNA repair [GO:0006281]",NA,COG0266,,Base excision repair
PA0358,NA,NA,Q9I6D6,1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]; phosphatidic acid biosynthetic process [GO:0006654],NA,NA,NA,NA
PA0359,NA,NA,Q9I6D5,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA0360,NA,NA,Q9I6D4,NA,NA,COG0790,,NA
PA0361,,(RefSeq) gamma-glutamyltranspeptidase,Q9I6D3,glutathione hydrolase activity [GO:0036374]; hypoglycin A gamma-glutamyl transpeptidase activity [GO:0102953]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751],NA,NA,NA,"Taurine and hypotaurine metabolism, Cyanoamino acid metabolism, Glutathione metabolism, Metabolic pathways"
PA0362,NA,NA,Q9I6D2,"cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]",NA,COG1143,NADH dehydrogenase,NA
PA0363,coaD,(RefSeq) phosphopantetheine adenylyltransferase,Q9I6D1,cytoplasm [GO:0005737]; [citrate (pro-3S)-lyase] ligase activity [GO:0008771]; ATP binding [GO:0005524]; pantetheine-phosphate adenylyltransferase activity [GO:0004595]; coenzyme A biosynthetic process [GO:0015937],NA,COG0669,Pantothenate/CoA biosynthesis,"Biosynthesis of cofactors, Metabolic pathways, Pantothenate and CoA biosynthesis"
PA0364,NA,NA,Q9I6D0,"flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]",NA,COG2303,Non-phosphorylated Entner-Doudoroff pathway,NA
PA0365,NA,NA,Q9I6C9,NA,NA,NA,NA,NA
PA0366,NA,NA,Q9I6C8,cytoplasm [GO:0005737]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; coniferyl-aldehyde dehydrogenase activity [GO:0050269]; cellular aldehyde metabolic process [GO:0006081],NA,COG1012,Proline degradation,NA
PA0367,NA,NA,Q9I6C7,"DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; regulation of transcription, DNA-templated [GO:0006355]",NA,NA,NA,NA
PA0367a,NA,NA,NA,NA,NA,COG1246,Arginine biosynthesis,NA
PA0368,NA,NA,Q9I6C6,acetylesterase activity [GO:0008126]; acylglycerol lipase activity [GO:0047372]; short-chain carboxylesterase activity [GO:0034338]; cellular lipid metabolic process [GO:0044255]; medium-chain fatty acid biosynthetic process [GO:0051792]; medium-chain fatty acid catabolic process [GO:0051793],NA,NA,NA,NA
PA0370,NA,NA,Q9I6C4,16S rRNA (guanine(966)-N(2))-methyltransferase activity [GO:0052913],NA,NA,NA,NA
PA0371,NA,NA,Q9I6C3,metal ion binding [GO:0046872],NA,COG0612,,NA
PA0372,NA,NA,Q9I6C2,outer membrane [GO:0019867]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; pyrroloquinoline quinone biosynthetic process [GO:0018189],NA,COG0612,,NA
PA0373,ftsY,(RefSeq) signal recognition particle receptor FtsY,Q9I6C1,cytoplasm [GO:0005737]; intrinsic component of plasma membrane [GO:0031226]; membrane [GO:0016020]; plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; signal recognition particle binding [GO:0005047]; protein targeting [GO:0006605]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614],NA,COG0552,,"Quorum sensing, Protein export, Bacterial secretion system"
PA0374,ftsE,(RefSeq) cell division protein FtsE,Q9I6C0,plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]; cell cycle [GO:0007049]; cell division [GO:0051301]; transmembrane transport [GO:0055085],NA,COG2884,,ABC transporters
PA0375,ftsX,(RefSeq) cell division protein FtsX,Q9I6B9,cell division site [GO:0032153]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cell cycle [GO:0007049]; cell division [GO:0051301],NA,COG2177,,ABC transporters
PA0376,NA,NA,P42378,"cytoplasm [GO:0005737]; DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription, initiation [GO:0006352]; response to heat [GO:0009408]",NA,COG0568,RNA polymerase,NA
PA0377,NA,NA,Q9I6B8,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA0378,,(RefSeq) monofunctional biosynthetic peptidoglycan transglycosylase,Q9I6B7,integral component of membrane [GO:0016021]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; pentosyltransferase activity [GO:0016763]; peptidoglycan glycosyltransferase activity [GO:0008955]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360],NA,NA,NA,"Peptidoglycan biosynthesis, Metabolic pathways"
PA0379,NA,NA,Q9I6B6,integral component of membrane [GO:0016021],NA,NA,NA,NA
